date,category,total_units,total_value,stockout_skus,overstock_skus,instock_rate,carrying_cost
2024-01-01,Breakroom,17967,323528.19,0,0,1.0,161.78
2024-01-01,Furniture,4571,2649545.22,0,15,1.0,1324.76
2024-01-01,Office Supplies,22991,694127.04,0,1,1.0,347.08
2024-01-01,Shipping,12784,578937.79,1,3,0.9879518072289156,289.48
2024-01-01,Technology,5784,1311239.5,0,12,1.0,655.61
2024-01-02,Breakroom,16546,297080.31,1,0,0.9891304347826086,148.52
2024-01-02,Furniture,4972,2919047.93,0,18,1.0,1459.5
2024-01-02,Office Supplies,21081,640981.72,0,2,1.0,320.5
2024-01-02,Shipping,12028,551586.85,0,3,1.0,275.8
2024-01-02,Technology,5871,1432769.39,0,14,1.0,716.38
2024-01-03,Breakroom,15071,268983.84,2,0,0.9782608695652174,134.46
2024-01-03,Furniture,5130,3051211.74,0,24,1.0,1525.6200000000001
2024-01-03,Office Supplies,19080,578461.96,2,2,0.9869281045751634,289.19
2024-01-03,Shipping,11298,523237.93,0,4,1.0,261.6
2024-01-03,Technology,5882,1505874.69,1,19,0.9880952380952381,752.96
2024-01-04,Breakroom,14406,259118.06,1,1,0.9891304347826086,129.57
2024-01-04,Furniture,5229,3144177.79,0,29,1.0,1572.08
2024-01-04,Office Supplies,18104,553362.88,2,3,0.9869281045751634,276.66
2024-01-04,Shipping,10563,494163.57,0,4,1.0,247.09
2024-01-04,Technology,5880,1600645.56,2,22,0.9761904761904762,800.33
2024-01-05,Breakroom,13632,242786.65,1,0,0.9891304347826086,121.38
2024-01-05,Furniture,5426,3256628.19,2,36,0.9772727272727273,1628.38
2024-01-05,Office Supplies,17279,521933.9,5,3,0.9673202614379085,260.95
2024-01-05,Shipping,10174,478713.12,3,5,0.963855421686747,239.37
2024-01-05,Technology,5854,1573904.88,2,26,0.9761904761904762,786.91
2024-01-06,Breakroom,13157,239368.35,1,1,0.9891304347826086,119.66
2024-01-06,Furniture,5674,3350292.72,1,40,0.9886363636363636,1675.17
2024-01-06,Office Supplies,16909,511089.12,4,3,0.9738562091503268,255.51
2024-01-06,Shipping,10453,482553.0,2,5,0.9759036144578314,241.28
2024-01-06,Technology,5949,1682821.1099999999,2,26,0.9761904761904762,841.4399999999999
2024-01-07,Breakroom,13159,242684.91,1,1,0.9891304347826086,121.33
2024-01-07,Furniture,5858,3467917.05,1,41,0.9886363636363636,1734.0
2024-01-07,Office Supplies,16735,517700.75,4,3,0.9738562091503268,258.84
2024-01-07,Shipping,10185,468802.87,1,4,0.9879518072289156,234.45
2024-01-07,Technology,6049,1692241.53,1,29,0.9880952380952381,846.14
2024-01-08,Breakroom,12471,227258.27,1,1,0.9891304347826086,113.62
2024-01-08,Furniture,5851,3467989.9,2,45,0.9772727272727273,1733.98
2024-01-08,Office Supplies,15688,490231.46,3,3,0.9803921568627451,245.09
2024-01-08,Shipping,9654,448128.7,3,2,0.963855421686747,224.07
2024-01-08,Technology,5915,1630701.8099999998,2,28,0.9761904761904762,815.33
2024-01-09,Breakroom,11862,217300.81,3,1,0.967391304347826,108.62
2024-01-09,Furniture,5924,3502718.3,4,43,0.9545454545454546,1751.3700000000001
2024-01-09,Office Supplies,14758,461482.71,8,2,0.9477124183006536,230.74
2024-01-09,Shipping,9519,438443.05,1,2,0.9879518072289156,219.17
2024-01-09,Technology,5713,1569137.47,3,29,0.9642857142857143,784.54
2024-01-10,Breakroom,11245,205782.56,4,1,0.9565217391304348,102.89
2024-01-10,Furniture,5838,3448191.7,4,39,0.9545454545454546,1724.05
2024-01-10,Office Supplies,14392,459396.51,8,1,0.9477124183006536,229.71
2024-01-10,Shipping,9179,424575.42,2,5,0.9759036144578314,212.33
2024-01-10,Technology,5643,1610748.1199999999,3,28,0.9642857142857143,805.37
2024-01-11,Breakroom,10728,201918.51,4,1,0.9565217391304348,100.95
2024-01-11,Furniture,5791,3427315.19,5,41,0.9431818181818182,1713.69
2024-01-11,Office Supplies,14335,443998.45,8,2,0.9477124183006536,222.01
2024-01-11,Shipping,9002,419446.12,3,3,0.963855421686747,209.77
2024-01-11,Technology,5644,1674060.75,5,29,0.9404761904761905,836.98
2024-01-12,Breakroom,10662,199451.56,8,1,0.9130434782608695,99.73
2024-01-12,Furniture,5872,3440351.33,7,42,0.9204545454545454,1720.16
2024-01-12,Office Supplies,14123,438890.85,9,3,0.9411764705882353,219.35
2024-01-12,Shipping,8648,404580.0,1,4,0.9879518072289156,202.29
2024-01-12,Technology,5571,1639682.67,5,29,0.9404761904761905,819.86
2024-01-13,Breakroom,11094,210263.61000000002,3,1,0.967391304347826,105.12
2024-01-13,Furniture,6195,3643874.06,4,45,0.9545454545454546,1821.93
2024-01-13,Office Supplies,14997,470264.14,8,4,0.9477124183006536,235.15
2024-01-13,Shipping,8816,409306.59,3,4,0.963855421686747,204.65
2024-01-13,Technology,5666,1672638.14,6,32,0.9285714285714286,836.31
2024-01-14,Breakroom,11463,214598.75,4,1,0.9565217391304348,107.33
2024-01-14,Furniture,6313,3684241.35,4,46,0.9545454545454546,1842.11
2024-01-14,Office Supplies,15462,482282.06,6,4,0.9607843137254902,241.08
2024-01-14,Shipping,9091,413214.39,0,5,1.0,206.59
2024-01-14,Technology,5813,1676350.52,5,31,0.9404761904761905,838.21
2024-01-15,Breakroom,10499,195456.5,7,1,0.9239130434782609,97.7
2024-01-15,Furniture,6118,3596266.56,6,43,0.9318181818181818,1798.12
2024-01-15,Office Supplies,14518,452951.44,6,3,0.9607843137254902,226.43
2024-01-15,Shipping,8505,398517.13,2,4,0.9759036144578314,199.28
2024-01-15,Technology,5684,1630884.67,5,31,0.9404761904761905,815.46
2024-01-16,Breakroom,10169,189896.03,8,1,0.9130434782608695,94.92
2024-01-16,Furniture,6117,3610942.99,7,42,0.9204545454545454,1805.47
2024-01-16,Office Supplies,13982,438929.07,5,0,0.9673202614379085,219.5
2024-01-16,Shipping,8513,393250.77999999997,1,5,0.9879518072289156,196.61
2024-01-16,Technology,5637,1663913.18,6,29,0.9285714285714286,831.96
2024-01-17,Breakroom,10149,184803.06,7,1,0.9239130434782609,92.37
2024-01-17,Furniture,6040,3563588.5,6,41,0.9318181818181818,1781.84
2024-01-17,Office Supplies,13730,426969.58999999997,8,1,0.9477124183006536,213.49
2024-01-17,Shipping,8086,368160.83,2,5,0.9759036144578314,184.11
2024-01-17,Technology,5556,1638220.73,7,30,0.9166666666666666,819.12
2024-01-18,Breakroom,9900,180448.62,6,1,0.9347826086956522,90.19
2024-01-18,Furniture,5960,3499981.14,8,39,0.9090909090909091,1749.98
2024-01-18,Office Supplies,13766,419890.33,7,3,0.954248366013072,209.9
2024-01-18,Shipping,8355,372120.93,4,6,0.9518072289156626,186.03
2024-01-18,Technology,5481,1604167.78,7,31,0.9166666666666666,802.07
2024-01-19,Breakroom,9860,180845.58,8,2,0.9130434782608695,90.41
2024-01-19,Furniture,5967,3526504.26,8,44,0.9090909090909091,1763.26
2024-01-19,Office Supplies,12974,408831.96,8,3,0.9477124183006536,204.43
2024-01-19,Shipping,8351,378016.14,2,3,0.9759036144578314,188.99
2024-01-19,Technology,5534,1575939.47,7,31,0.9166666666666666,787.98
2024-01-20,Breakroom,10676,198652.67,3,3,0.967391304347826,99.32
2024-01-20,Furniture,6336,3752323.16,6,51,0.9318181818181818,1876.14
2024-01-20,Office Supplies,14128,449697.22000000003,6,2,0.9607843137254902,224.89
2024-01-20,Shipping,8323,381206.62,3,2,0.963855421686747,190.58
2024-01-20,Technology,5712,1678330.13,5,34,0.9404761904761905,839.19
2024-01-21,Breakroom,10514,194749.41,7,2,0.9239130434782609,97.36
2024-01-21,Furniture,6336,3733683.91,5,50,0.9431818181818182,1866.85
2024-01-21,Office Supplies,14565,459884.21,7,2,0.954248366013072,230.0
2024-01-21,Shipping,8726,398196.89,2,3,0.9759036144578314,199.09
2024-01-21,Technology,5662,1668365.06,6,33,0.9285714285714286,834.19
2024-01-22,Breakroom,9710,179985.57,5,2,0.9456521739130435,89.99
2024-01-22,Furniture,6197,3663374.94,8,48,0.9090909090909091,1831.69
2024-01-22,Office Supplies,13435,421841.89,7,1,0.954248366013072,210.94
2024-01-22,Shipping,8410,382371.99,2,4,0.9759036144578314,191.22
2024-01-22,Technology,5539,1630175.91,6,32,0.9285714285714286,815.08
2024-01-23,Breakroom,9731,183029.32,8,1,0.9130434782608695,91.5
2024-01-23,Furniture,6032,3572597.71,8,44,0.9090909090909091,1786.3
2024-01-23,Office Supplies,13212,416674.16,10,3,0.934640522875817,208.35999999999999
