date,category,units_sold,revenue
2024-01-01,Breakroom,1616,32542.12
2024-01-01,Furniture,465,270670.64
2024-01-01,Office Supplies,2389,74046.58
2024-01-01,Shipping,1036,39653.78
2024-01-01,Technology,445,124703.65
2024-01-02,Breakroom,1554,32005.16
2024-01-02,Furniture,439,254432.7
2024-01-02,Office Supplies,2427,74471.08
2024-01-02,Shipping,1020,37686.73
2024-01-02,Technology,431,113361.37
2024-01-03,Breakroom,1633,32119.52
2024-01-03,Furniture,469,266637.71
2024-01-03,Office Supplies,2398,75548.99
2024-01-03,Shipping,1088,41003.23
2024-01-03,Technology,433,132105.1
2024-01-04,Breakroom,1554,31216.78
2024-01-04,Furniture,470,268776.63
2024-01-04,Office Supplies,2278,70502.14
2024-01-04,Shipping,997,38477.45
2024-01-04,Technology,438,113166.63
2024-01-05,Breakroom,1589,32887.07
2024-01-05,Furniture,470,266410.15
2024-01-05,Office Supplies,2311,74514.45
2024-01-05,Shipping,950,36483.51
2024-01-05,Technology,425,126191.77
2024-01-06,Breakroom,943,19268.52
2024-01-06,Furniture,260,155839.56
2024-01-06,Office Supplies,1490,46826.64
2024-01-06,Shipping,609,23670.43
2024-01-06,Technology,262,68833.86
2024-01-07,Breakroom,930,18695.58
2024-01-07,Furniture,270,155994.86
2024-01-07,Office Supplies,1422,43849.79
2024-01-07,Shipping,570,22693.78
2024-01-07,Technology,242,65708.55
2024-01-08,Breakroom,1618,32505.48
2024-01-08,Furniture,488,281800.96
2024-01-08,Office Supplies,2448,76860.18
2024-01-08,Shipping,1026,39333.3
2024-01-08,Technology,455,130976.35
2024-01-09,Breakroom,1609,32219.47
2024-01-09,Furniture,467,263642.98
2024-01-09,Office Supplies,2467,75938.35
2024-01-09,Shipping,956,39211.08
2024-01-09,Technology,439,132550.8
2024-01-10,Breakroom,1631,32507.98
2024-01-10,Furniture,462,264290.75
2024-01-10,Office Supplies,2347,73535.09
2024-01-10,Shipping,997,39743.63
2024-01-10,Technology,463,129642.88
2024-01-11,Breakroom,1648,32751.45
2024-01-11,Furniture,462,268235.09
2024-01-11,Office Supplies,2320,73739.69
2024-01-11,Shipping,996,38275.88
2024-01-11,Technology,458,130073.97
2024-01-12,Breakroom,1566,31494.7
2024-01-12,Furniture,485,282774.3
2024-01-12,Office Supplies,2480,78333.73
2024-01-12,Shipping,996,38046.32
2024-01-12,Technology,428,121362.48
2024-01-13,Breakroom,929,18254.54
2024-01-13,Furniture,272,154665.64
2024-01-13,Office Supplies,1441,43838.55
2024-01-13,Shipping,599,22231.14
2024-01-13,Technology,243,66346.43
2024-01-14,Breakroom,971,19372.62
2024-01-14,Furniture,287,175559.48
2024-01-14,Office Supplies,1463,46081.5
2024-01-14,Shipping,581,22414.079999999998
2024-01-14,Technology,232,67245.01
2024-01-15,Breakroom,1662,34130.06
2024-01-15,Furniture,499,296306.19
2024-01-15,Office Supplies,2318,74265.8
2024-01-15,Shipping,985,37720.37
2024-01-15,Technology,408,110197.62
2024-01-16,Breakroom,1633,32246.49
2024-01-16,Furniture,460,260421.88
2024-01-16,Office Supplies,2425,78339.83
2024-01-16,Shipping,1037,40360.76
2024-01-16,Technology,422,124775.03
2024-01-17,Breakroom,1589,32506.05
2024-01-17,Furniture,470,259715.81
2024-01-17,Office Supplies,2479,80428.38
2024-01-17,Shipping,995,41089.94
2024-01-17,Technology,458,119610.92
2024-01-18,Breakroom,1595,32609.0
2024-01-18,Furniture,528,299483.75
2024-01-18,Office Supplies,2441,78125.65
2024-01-18,Shipping,1013,40364.22
2024-01-18,Technology,454,131830.14
2024-01-19,Breakroom,1582,31577.03
2024-01-19,Furniture,471,277043.37
2024-01-19,Office Supplies,2380,74217.69
2024-01-19,Shipping,1019,39804.59
2024-01-19,Technology,444,123786.45
2024-01-20,Breakroom,964,19547.11
2024-01-20,Furniture,263,153377.76
