alert_type,sku_id,priority,priority_label,message,timestamp,product_name,stockout_days,action,current_qty,safety_stock,max_level,excess_units,actual_slg,target_slg,gap_pct,current_demand,avg_demand,std_demand,order_id,supplier_id,days_late,category
STOCKOUT,385855,2,HIGH,Stockout alert: 3 days without inventory,2026-03-17 14:20:55,"LUX 6 1/2 x 6 1/2 Square Envelopes, 250/Box, Groce",3.0,Place urgent order,,,,,,,,,,,,,,Shipping
STOCKOUT,2573958,1,CRITICAL,Critical stockout: 14 days without inventory,2026-03-17 14:20:55,Trademark Fine Art Philippe Hugonnard 'Another Loo,14.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,234685,1,CRITICAL,Critical stockout: 10 days without inventory,2026-03-17 14:20:55,NoTrax OrienTrax Nylon Fiber Specialty Entrance Fl,10.0,Expedite order immediately,,,,,,,,,,,,,,Breakroom
STOCKOUT,24395819,1,CRITICAL,Critical stockout: 26 days without inventory,2026-03-17 14:20:55,Mind Reader Monitor Stand Riser with Drawer Storag,26.0,Expedite order immediately,,,,,,,,,,,,,,Technology
STOCKOUT,386408,1,CRITICAL,Critical stockout: 10 days without inventory,2026-03-17 14:20:55,LUX A1 Invitation Envelopes (3 5/8 x 5 1/8) 1000/B,10.0,Expedite order immediately,,,,,,,,,,,,,,Shipping
STOCKOUT,1448071,1,CRITICAL,Critical stockout: 7 days without inventory,2026-03-17 14:20:55,"Trademark Megan Romo ""Strong Runner II"" Art, White",7.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,1727204,1,CRITICAL,Critical stockout: 31 days without inventory,2026-03-17 14:20:55,Trademark Fine Art Mathieu Rivrin 'Road to the Gol,31.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,24357363,1,CRITICAL,Critical stockout: 23 days without inventory,2026-03-17 14:20:55,"Luxor Magnetic Wall Mounted Glass Board, Aluminum,",23.0,Expedite order immediately,,,,,,,,,,,,,,Furniture
STOCKOUT,693479,1,CRITICAL,Critical stockout: 31 days without inventory,2026-03-17 14:20:55,"12"" x 18"" Antistatic Layflat Poly Bags, 2 Mil, Pin",31.0,Expedite order immediately,,,,,,,,,,,,,,Shipping
STOCKOUT,24516637,2,HIGH,Stockout alert: 3 days without inventory,2026-03-17 14:20:55,"Ashley Dry Erase Magnetic Whiteboard Erasers, Butt",3.0,Place urgent order,,,,,,,,,,,,,,Furniture
STOCKOUT,IM15BP697,1,CRITICAL,Critical stockout: 31 days without inventory,2026-03-17 14:20:55,AVerMedia Live Gamer Ultra (GC553),31.0,Expedite order immediately,,,,,,,,,,,,,,Technology
STOCKOUT,2083952,1,CRITICAL,Critical stockout: 22 days without inventory,2026-03-17 14:20:55,Trademark Fine Art ''Mice #8'' by J Hovenstine Stu,22.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,24511316,1,CRITICAL,Critical stockout: 29 days without inventory,2026-03-17 14:20:55,"Bazic Sign Here Flags with Dispenser, 1"" Wide, Yel",29.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,24514624,1,CRITICAL,Critical stockout: 14 days without inventory,2026-03-17 14:20:55,24 SQUARE ADV LBL GLS 2X2 POL,14.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,2632924,1,CRITICAL,Critical stockout: 30 days without inventory,2026-03-17 14:20:55,JAM PAPER A9 Colored Invitation Envelopes with Pee,30.0,Expedite order immediately,,,,,,,,,,,,,,Shipping
STOCKOUT,1207472,1,CRITICAL,Critical stockout: 16 days without inventory,2026-03-17 14:20:55,"Trademark Monica Fleet ""Expressive Individuality"" ",16.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,2137837,1,CRITICAL,Critical stockout: 9 days without inventory,2026-03-17 14:20:55,Nielsen Bainbridge Wood Frame Kits Natural 28 In. ,9.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,24260565,1,CRITICAL,Critical stockout: 9 days without inventory,2026-03-17 14:20:55,LUX A4 Invitation Envelopes (4 1/4 x 6 1/4) 50/Pac,9.0,Expedite order immediately,,,,,,,,,,,,,,Shipping
STOCKOUT,845860,1,CRITICAL,Critical stockout: 14 days without inventory,2026-03-17 14:20:55,"Grammar Skills, Evan-Moor® Daily Language Review G",14.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,254435,1,CRITICAL,Critical stockout: 17 days without inventory,2026-03-17 14:20:55,Trademark Fine Art Ryan Radke 'Italian Bus Stop' C,17.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,2509195,1,CRITICAL,Critical stockout: 31 days without inventory,2026-03-17 14:20:55,BJ's Restaurant & Brewhouse Gift Card $25 (Email D,31.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,262017,1,CRITICAL,Critical stockout: 22 days without inventory,2026-03-17 14:20:55,"JAM Paper® A2 Metallic Invitation Envelopes, 4.375",22.0,Expedite order immediately,,,,,,,,,,,,,,Shipping
STOCKOUT,IM11V4703,1,CRITICAL,Critical stockout: 27 days without inventory,2026-03-17 14:20:55,WD 2-Bay 8TB My Cloud EX2 Ultra Network NAS Attach,27.0,Expedite order immediately,,,,,,,,,,,,,,Technology
STOCKOUT,24367933,1,CRITICAL,Critical stockout: 24 days without inventory,2026-03-17 14:20:55,"Moleskine Cahier Journal, Dotted, Black, 3/Pack (7",24.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,282354,1,CRITICAL,Critical stockout: 15 days without inventory,2026-03-17 14:20:55,LUX A1 Invitation Envelopes (3 5/8 x 5 1/8) 50/Box,15.0,Expedite order immediately,,,,,,,,,,,,,,Shipping
STOCKOUT,1682311,1,CRITICAL,Critical stockout: 25 days without inventory,2026-03-17 14:20:55,"Staples Standard Durable Cork Bulletin Board, Alum",25.0,Expedite order immediately,,,,,,,,,,,,,,Furniture
STOCKOUT,313288,1,CRITICAL,Critical stockout: 10 days without inventory,2026-03-17 14:20:55,"Trademark Fine Art 'Evocation of an Island' 35"" x ",10.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,SKU,1,CRITICAL,Critical stockout: 10 days without inventory,2026-03-17 14:20:55,Product Title,10.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,24541649,1,CRITICAL,Critical stockout: 31 days without inventory,2026-03-17 14:20:55,Honeywell Fire/Waterproof Safe with Keypad w/Key L,31.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
STOCKOUT,811420,1,CRITICAL,Critical stockout: 30 days without inventory,2026-03-17 14:20:55,"Smead Expanding File with Flap and Cord Closure, 1",30.0,Expedite order immediately,,,,,,,,,,,,,,Office Supplies
